trail_name, distance, state, surface
Porterville Rails to Trails Parkway,1.3 mi,State: CA,Asphalt, Concrete
Prince Memorial Greenway,1.3 mi,State: CA,Concrete
Quarry Lakes Regional Recreation Area Trails,5.38 mi,State: CA,Crushed Stone
Railroad Safety Trail,1.9 mi,State: CA,Asphalt
Redwood Highway/San Clemente Drive Paths,1.21 mi,State: CA,Asphalt
Reedley Rail-Trail,2.9 mi,State: CA,Asphalt
Richmond Greenway,2 mi,State: CA,Asphalt
Rincon Bike Trail,3.6 mi,State: CA,Asphalt
Rio Hondo River Trail,17.3 mi,State: CA,Asphalt, Concrete
Robert McCollum Memorial Bicycle Trail,1 mi,State: CA,Asphalt
Rose Canyon Bicycle Path,1.1 mi,State: CA,Asphalt
Sabercat Creek Trail,2 mi,State: CA,Asphalt
Sacramento Northern Bikeway,9.8 mi,State: CA,Asphalt
Sacramento River Parkway Trail,9.3 mi,State: CA,Asphalt, Concrete
Sacramento River Rail Trail,11.1 mi,State: CA,Asphalt
Sacramento River Trail,12.27 mi,State: CA,Asphalt, Concrete
Salt Creek Trail (CA),5 mi,State: CA,Asphalt, Concrete, Crushed Stone
San Antonio Creek Trail,0.5 mi,State: CA,Asphalt
San Diego Creek Trail,9.3 mi,State: CA,Asphalt
San Diego River Trail,6 mi,State: CA,Asphalt
San Fernando Road Bike Path,5.7 mi,State: CA,Asphalt, Concrete
San Francisco Bay Trail,301.5 mi,State: CA,Asphalt, Boardwalk, Concrete, Crushed Stone, Dirt, Gravel
San Francisquito Creek Trail,6.7 mi,State: CA,Asphalt
San Gabriel River Trail,38 mi,State: CA,Asphalt, Concrete
San Juan Creek Trail,6 mi,State: CA,Asphalt, Concrete
San Luis Rey River Trail,9 mi,State: CA,Asphalt
San Tomas Aquino Creek Trail,4.6 mi,State: CA,Asphalt
Sandra Marker Trail,1 mi,State: CA,Asphalt
Santa Ana River Trail,50.3 mi,State: CA,Asphalt, Concrete
Santa Barbara Beach Trail,4.5 mi,State: CA,Asphalt, Concrete
Santa Clara River Trail (CA),8.8 mi,State: CA,Asphalt
Santa Cruz Riverwalk,3.7 mi,State: CA,Asphalt, Concrete
Santa Fe Trail (Tulare),4.5 mi,State: CA,Asphalt, Dirt
Santa Fe Trail (Visalia),2.5 mi,State: CA,Asphalt
Santa Gertrudis Creek Trail,3 mi,State: CA,Asphalt
Santa Maria River Levee Trail,6.7 mi,State: CA,Asphalt, Gravel
Santa Maria Valley Multi-Purpose Trail,2.7 mi,State: CA,Asphalt, Concrete
Santa Paula Branch Line Trail,2.5 mi,State: CA,Asphalt
Santa Rosa Creek Trail,15.7 mi,State: CA,Asphalt, Gravel
Santiago Creek Trail,7.6 mi,State: CA,Asphalt, Concrete
Saratoga Creek Trail,1.5 mi,State: CA,Asphalt, Gravel
Sawmill Bike Path,2.2 mi,State: CA,Asphalt
Shady Canyon Trail,4 mi,State: CA,Asphalt, Concrete
Shady Rest Path,0.8 mi,State: CA,Asphalt
Shepherd Canyon Trail (Montclair Railroad Trail),1.4 mi,State: CA,Asphalt, Crushed Stone
Shoreline Pedestrian/Bicycle Path,4.1 mi,State: CA,Concrete
Sierra Bike Trail,7.1 mi,State: CA,Asphalt, Concrete
Sierra Park Connector,0.3 mi,State: CA,Asphalt
Silver Creek Valley Trail,4 mi,State: CA,Asphalt
Sir Francis Drake Bikeway (Cross Marin Trail),5.3 mi,State: CA,Asphalt
Ski Run Bike Trail,0.6 mi,State: CA,Asphalt
Sneath Lane Trail,1.68 mi,State: CA,Asphalt, Dirt
Sonoma Bike Path,1.5 mi,State: CA,Asphalt
Sorrento Valley Road Trail,1 mi,State: CA,Asphalt
South Fork River Trail,4.7 mi,State: CA,Asphalt
South Lake Tahoe Bike Path,2.9 mi,State: CA,Asphalt
Southern Avenue Greenway,2.5 mi,State: CA,Concrete
Southside Bikeway,1.25 mi,State: CA,Asphalt
St. John's River Trail,3.8 mi,State: CA,Asphalt
Stanford Hills Trail,0.84 mi,State: CA,Asphalt
State Route 56 Bike Path,10.3 mi,State: CA,Asphalt
Stevens Creek Trail,5.9 mi,State: CA,Asphalt
Sugar Pine Trail,4 mi,State: CA,Asphalt
Sunrise Bikeway,2 mi,State: CA,Concrete
Sutter Commuter Bikeway,4.65 mi,State: CA,Asphalt
Sweeney Ridge Trail,2.17 mi,State: CA,Asphalt, Dirt
Sweetwater Bikeway,2.2 mi,State: CA,Asphalt, Concrete
Taft Rails to Trails,1.4 mi,State: CA,Asphalt
Tahoe Trailways Bike Path,19.4 mi,State: CA,Asphalt
Ten Mile Beach Trail (MacKerricher Haul Road Trail),3.8 mi,State: CA,Asphalt
Three Creeks Trail,0.9 mi,State: CA,Asphalt
Tiburon Historical Trail,2.6 mi,State: CA,Asphalt
Town Loop,6.9 mi,State: CA,Asphalt, Concrete
Tracks at Brea Trail,4 mi,State: CA,Asphalt, Gravel
Truckee River Legacy Trail,4.4 mi,State: CA,Asphalt
Tuolumne River Trail,2.3 mi,State: CA,Asphalt
Turtle Rock Trail,2.8 mi,State: CA,Concrete
Tustin Branch Trail,2.2 mi,State: CA,Concrete, Dirt
Two Rivers Trail,1.7 mi,State: CA,Asphalt
UC Davis Arboretum and Putah Creek Trails,5.4 mi,State: CA,Asphalt
UC Davis and Russell Boulevard Paths,4.8 mi,State: CA,Asphalt
Umbarger Road Parkway,0.6 mi,State: CA,Concrete
Union Valley Bike Trail,5.8 mi,State: CA,Asphalt
University Trail,3 mi,State: CA,Asphalt, Concrete
Upper Bay Trail,2.4 mi,State: CA,Asphalt
Upper Silver Creek Trail,0.9 mi,State: CA,Asphalt
Upper Struve Slough Trail,2.5 mi,State: CA,Asphalt
Venta Spur Trail,3.7 mi,State: CA,Concrete
Ventura River Trail,5.5 mi,State: CA,Asphalt
Vernon McCullough Fresno River Trail,3.4 mi,State: CA,Asphalt
Victoria Avenue Bike Path,6 mi,State: CA,Asphalt
Virginia Corridor Trailway,2.7 mi,State: CA,Asphalt
Visitacion Valley Greenway,0.5 mi,State: CA,Concrete
Walnut Trail,3.1 mi,State: CA,Asphalt
Watsonville Slough Trail,2.8 mi,State: CA,Concrete, Gravel
Watts Towers Crescent Greenway,0.2 mi,State: CA,Crushed Stone
West Cliff Drive Bicycle Path,3.4 mi,State: CA,Asphalt
West County Regional Trail,5.9 mi,State: CA,Asphalt
West Irvine Trail,1.7 mi,State: CA,Asphalt, Concrete, Crushed Stone
Whittier Greenway Trail,4.7 mi,State: CA,Asphalt
Woodbridge Trail,2.2 mi,State: CA,Asphalt, Concrete
Yerba Buena Creek Trail,0.7 mi,State: CA,Asphalt, Gravel
Yolo Causeway Bike Path,3.7 mi,State: CA,Asphalt, Concrete
Yosemite Valley Trails,7.5 mi,State: CA,Asphalt
